"source_repository","source_sha","source_path","current_target","capability","disposition","proposed_destination","phase","dependencies","tests","deletion_gate"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/jangspec/tier.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/jangspec/tier.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/__init__.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/kimi_prune/__init__.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/bench.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/kimi_prune/bench.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/bench_humaneval.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/kimi_prune/bench_humaneval.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/bench_humaneval_passk.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/kimi_prune/bench_humaneval_passk.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/bench_humaneval_retry.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/kimi_prune/bench_humaneval_retry.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/bench_mmlu.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/kimi_prune/bench_mmlu.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/bench_mmlu_logit.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/kimi_prune/bench_mmlu_logit.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/bench_text.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/kimi_prune/bench_text.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/build_calib.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/kimi_prune/build_calib.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/build_calib_v2.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/kimi_prune/build_calib_v2.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/build_calib_v3.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/kimi_prune/build_calib_v3.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/convert_kimi_jangtq.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/kimi_prune/convert_kimi_jangtq.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/generate_once.py","jang-tools","duplicate Python inference/runtime","reference","Workers/jang-tools/jang_tools/kimi_prune/generate_once.py","8","Python MLX/Torch","vMLX output/load/serve parity","no product inference use and parity complete"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/generate_vl.py","jang-tools","duplicate Python inference/runtime","reference","Workers/jang-tools/jang_tools/kimi_prune/generate_vl.py","8","Python MLX/Torch","vMLX output/load/serve parity","no product inference use and parity complete"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/int4_codec.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/kimi_prune/int4_codec.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/jangreap.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/kimi_prune/jangreap.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/layer_forward.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/kimi_prune/layer_forward.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/profile.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/kimi_prune/profile.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/prune.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/kimi_prune/prune.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/runtime_patch.py","jang-tools","duplicate Python inference/runtime","reference","Workers/jang-tools/jang_tools/kimi_prune/runtime_patch.py","8","Python MLX/Torch","vMLX output/load/serve parity","no product inference use and parity complete"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/runtime_test.py","jang-tools","duplicate Python inference/runtime","reference","Workers/jang-tools/jang_tools/kimi_prune/runtime_test.py","8","Python MLX/Torch","vMLX output/load/serve parity","no product inference use and parity complete"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/runtime_test_vl.py","jang-tools","duplicate Python inference/runtime","reference","Workers/jang-tools/jang_tools/kimi_prune/runtime_test_vl.py","8","Python MLX/Torch","vMLX output/load/serve parity","no product inference use and parity complete"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/score.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/kimi_prune/score.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/serve.py","jang-tools","duplicate Python inference/runtime","reference","Workers/jang-tools/jang_tools/kimi_prune/serve.py","8","Python MLX/Torch","vMLX output/load/serve parity","no product inference use and parity complete"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/tokenize_calib.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/kimi_prune/tokenize_calib.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/verify.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/kimi_prune/verify.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/kimi_prune/weight_loader.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/kimi_prune/weight_loader.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/laguna/__init__.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/laguna/__init__.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/laguna/config.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/laguna/config.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/laguna/convert.py","jang-tools","JANG/JANGTQ conversion","wrap","Workers/jang-tools/jang_tools/laguna/convert.py","8","safetensors;numpy;MLX/Torch","worker JSONL cancel manifest artifact parity","native converter parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/laguna/model.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/laguna/model.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/laguna/runtime.py","jang-tools","duplicate Python inference/runtime","reference","Workers/jang-tools/jang_tools/laguna/runtime.py","8","Python MLX/Torch","vMLX output/load/serve parity","no product inference use and parity complete"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/laguna/weight_loader_bf16.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/laguna/weight_loader_bf16.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mimo_v2/__init__.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/mimo_v2/__init__.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mimo_v2/affine_codec.py","jang-tools","JANG/JANGTQ conversion","wrap","Workers/jang-tools/jang_tools/mimo_v2/affine_codec.py","8","safetensors;numpy;MLX/Torch","worker JSONL cancel manifest artifact parity","native converter parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mimo_v2/awq_qdq.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/mimo_v2/awq_qdq.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mimo_v2/convert_jang.py","jang-tools","JANG/JANGTQ conversion","wrap","Workers/jang-tools/jang_tools/mimo_v2/convert_jang.py","8","safetensors;numpy;MLX/Torch","worker JSONL cancel manifest artifact parity","native converter parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mimo_v2/fp8_block_codec.py","jang-tools","JANG/JANGTQ conversion","wrap","Workers/jang-tools/jang_tools/mimo_v2/fp8_block_codec.py","8","safetensors;numpy;MLX/Torch","worker JSONL cancel manifest artifact parity","native converter parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mimo_v2/mlx_model.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/mimo_v2/mlx_model.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mimo_v2/mlx_register.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/mimo_v2/mlx_register.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mimo_v2/router_trace.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/mimo_v2/router_trace.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mimo_v2/source_contract.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/mimo_v2/source_contract.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mimo_v2/tests/__init__.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/mimo_v2/tests/__init__.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mimo_v2/verify_bundle.py","jang-tools","inspection/verification","wrap","Workers/jang-tools/jang_tools/mimo_v2/verify_bundle.py","8","Python","verification fixture and diagnostics tests","native verification parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mimo_v2/vlm/__init__.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/mimo_v2/vlm/__init__.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mimo_v2/vlm/config.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/mimo_v2/vlm/config.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mimo_v2/vlm/load.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/mimo_v2/vlm/load.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mimo_v2/vlm/model.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/mimo_v2/vlm/model.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mimo_v2/vlm/vision.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/mimo_v2/vlm/vision.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mimo_v2/weight_loader.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/mimo_v2/weight_loader.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/minimax_m3/__init__.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/minimax_m3/__init__.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/minimax_m3/awq_capture.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/minimax_m3/awq_capture.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/minimax_m3/convert_jang.py","jang-tools","JANG/JANGTQ conversion","wrap","Workers/jang-tools/jang_tools/minimax_m3/convert_jang.py","8","safetensors;numpy;MLX/Torch","worker JSONL cancel manifest artifact parity","native converter parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/minimax_m3/layer_forward.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/minimax_m3/layer_forward.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/minimax_m3/probe.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/minimax_m3/probe.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/minimax_m3/reap_profile.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/minimax_m3/reap_profile.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/minimax_m3/reap_select.py","jang-tools","expert analysis/pruning","wrap","Workers/jang-tools/jang_tools/minimax_m3/reap_select.py","8-12","Python MLX/Torch","strategy capability and reviewed-prune golden tests","native strategy parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/minimax_m3/weight_stream.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/minimax_m3/weight_stream.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mistral3/__init__.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/mistral3/__init__.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mistral3/config.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/mistral3/config.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mistral3/convert.py","jang-tools","JANG/JANGTQ conversion","wrap","Workers/jang-tools/jang_tools/mistral3/convert.py","8","safetensors;numpy;MLX/Torch","worker JSONL cancel manifest artifact parity","native converter parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mistral3/convert_jangtq.py","jang-tools","JANG/JANGTQ conversion","wrap","Workers/jang-tools/jang_tools/mistral3/convert_jangtq.py","8","safetensors;numpy;MLX/Torch","worker JSONL cancel manifest artifact parity","native converter parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mistral3/fp8_per_tensor_codec.py","jang-tools","JANG/JANGTQ conversion","wrap","Workers/jang-tools/jang_tools/mistral3/fp8_per_tensor_codec.py","8","safetensors;numpy;MLX/Torch","worker JSONL cancel manifest artifact parity","native converter parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mistral3/model.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/mistral3/model.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mistral3/runtime.py","jang-tools","duplicate Python inference/runtime","reference","Workers/jang-tools/jang_tools/mistral3/runtime.py","8","Python MLX/Torch","vMLX output/load/serve parity","no product inference use and parity complete"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/mistral3/weight_loader.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/mistral3/weight_loader.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/nemotron_omni/__init__.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/nemotron_omni/__init__.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/nemotron_omni/audio_features.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/nemotron_omni/audio_features.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/nemotron_omni/image_processor.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/nemotron_omni/image_processor.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/nemotron_omni/model.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/nemotron_omni/model.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/nemotron_omni/parakeet.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/nemotron_omni/parakeet.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/nemotron_omni/projectors.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/nemotron_omni/projectors.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/nemotron_omni/radio.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/nemotron_omni/radio.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/nemotron_omni/video_processor.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/nemotron_omni/video_processor.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/reasoning/__init__.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/reasoning/__init__.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/reasoning/base.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/reasoning/base.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/reasoning/deepseek_r1_parser.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/reasoning/deepseek_r1_parser.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/reasoning/gemma4_parser.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/reasoning/gemma4_parser.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/reasoning/gptoss_parser.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/reasoning/gptoss_parser.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/reasoning/minimax_m2_parser.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/reasoning/minimax_m2_parser.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/reasoning/mistral_parser.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/reasoning/mistral_parser.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/reasoning/qwen3_parser.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/reasoning/qwen3_parser.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/reasoning/think_parser.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/reasoning/think_parser.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/reasoning/think_xml_parser.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/reasoning/think_xml_parser.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/step37/__init__.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/step37/__init__.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/step37/convert_jang.py","jang-tools","JANG/JANGTQ conversion","wrap","Workers/jang-tools/jang_tools/step37/convert_jang.py","8","safetensors;numpy;MLX/Torch","worker JSONL cancel manifest artifact parity","native converter parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/step37/nvfp4_codec.py","jang-tools","JANG/JANGTQ conversion","wrap","Workers/jang-tools/jang_tools/step37/nvfp4_codec.py","8","safetensors;numpy;MLX/Torch","worker JSONL cancel manifest artifact parity","native converter parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/step37/step3p7_mlx.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/step37/step3p7_mlx.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/turboquant/mpp_dense_kernel.py","jang-tools","JANG/JANGTQ conversion","wrap","Workers/jang-tools/jang_tools/turboquant/mpp_dense_kernel.py","8","safetensors;numpy;MLX/Torch","worker JSONL cancel manifest artifact parity","native converter parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/turboquant/mpp_nax_kernel.py","jang-tools","JANG/JANGTQ conversion","wrap","Workers/jang-tools/jang_tools/turboquant/mpp_nax_kernel.py","8","safetensors;numpy;MLX/Torch","worker JSONL cancel manifest artifact parity","native converter parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/zaya/__init__.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/zaya/__init__.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/zaya/model.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/zaya/model.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/zaya/runtime.py","jang-tools","duplicate Python inference/runtime","reference","Workers/jang-tools/jang_tools/zaya/runtime.py","8","Python MLX/Torch","vMLX output/load/serve parity","no product inference use and parity complete"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-tools/jang_tools/zaya1_vl/__init__.py","jang-tools","specialized/reference tooling","reference","Workers/jang-tools/Reference/zaya1_vl/__init__.py","7-8","Python","capability inventory","explicitly out of scope or native parity"
